,src_name,popularity,relevance_query,score_rank,score_mean
3644,jobvite,0.022222222222222223,1.0,0.8666666666666667,0.7511111111111111
1955,dignelesbains,0.022222222222222223,1.0,0.8584905660377358,0.7478406708595388
1249,cejep.univ-larochelle,0.022222222222222223,1.0,0.8584905660377358,0.7478406708595388
3472,iot-now,0.022222222222222223,1.0,0.8584905660377358,0.7478406708595388
1002,budget.ro,0.022222222222222223,1.0,0.8584905660377358,0.7478406708595388
2309,emploi.tg,0.022222222222222223,1.0,0.8584905660377358,0.7478406708595388
6290,traveloka,0.044444444444444446,1.0,0.8465299411561094,0.7475008653513326
2316,emploimauritanie,0.022222222222222223,1.0,0.8504672897196262,0.7446313603322949
5975,stordata,0.022222222222222223,1.0,0.8504672897196262,0.7446313603322949
337,algeriejob,0.022222222222222223,1.0,0.8425925925925926,0.7414814814814814
1978,displaytechnology.co.uk,0.022222222222222223,1.0,0.8425925925925926,0.7414814814814814
1909,devis-facture-cloud,0.022222222222222223,1.0,0.8425925925925926,0.7414814814814814
2537,expedia,0.022222222222222223,1.0,0.8425925925925926,0.7414814814814814
2844,gendarme,0.022222222222222223,1.0,0.8348623853211009,0.7383893985728849
6806,zscaler,0.022222222222222223,1.0,0.8272727272727273,0.7353535353535354
50,64.snuipp,0.022222222222222223,1.0,0.8272727272727273,0.7353535353535354
4529,moutiers-les-mauxfaits,0.022222222222222223,1.0,0.8198198198198198,0.7323723723723723
4117,lota.cloud,0.022222222222222223,1.0,0.8198198198198198,0.7323723723723723
5425,remix.au,0.022222222222222223,1.0,0.8198198198198198,0.7323723723723723
2312,emploiburkina,0.022222222222222223,1.0,0.8125,0.7294444444444445
3369,infotec-pro,0.022222222222222223,1.0,0.8053097345132744,0.7265683382497542
6537,ville-petitbourg,0.022222222222222223,1.0,0.7982456140350878,0.7237426900584796
2311,emploibenin,0.022222222222222223,1.0,0.7982456140350878,0.7237426900584796
3835,lapresse.tn,0.022222222222222223,1.0,0.7913043478260869,0.7209661835748793
4668,nigerjob,0.022222222222222223,1.0,0.7844827586206897,0.7182375478927203
290,ai4belgium.be,0.022222222222222223,1.0,0.7844827586206897,0.7182375478927203
1953,digitalsupport.randstad,0.022222222222222223,1.0,0.7777777777777779,0.7155555555555556
1911,devopsppalliance,0.022222222222222223,1.0,0.7777777777777779,0.7155555555555556
3904,ledenicheur,0.022222222222222223,1.0,0.771186440677966,0.7129190207156308
6417,universpharmacie,0.022222222222222223,1.0,0.771186440677966,0.7129190207156308
819,blmedien.de,0.022222222222222223,1.0,0.7647058823529411,0.7103267973856209
493,applejack,0.022222222222222223,1.0,0.7647058823529411,0.7103267973856209
1359,chemilly,0.022222222222222223,1.0,0.7647058823529411,0.7103267973856209
1459,cloudlion,0.022222222222222223,1.0,0.7647058823529411,0.7103267973856209
4824,oodrive,0.022222222222222223,1.0,0.7647058823529411,0.7103267973856209
111,acegroup.agency,0.022222222222222223,1.0,0.7583333333333333,0.7077777777777778
614,athena.u-pec,0.022222222222222223,1.0,0.7583333333333333,0.7077777777777778
6691,wishartestateagents.co.uk,0.022222222222222223,1.0,0.7583333333333333,0.7077777777777778
5024,pedagogie.ac-nantes,0.022222222222222223,1.0,0.7520661157024794,0.7052708907254361
5431,rentalcars,0.022222222222222223,1.0,0.7520661157024794,0.7052708907254361
189,advanced-drone-technologies,0.044444444444444446,0.75,0.9838125292192614,0.7024139005765935
5824,skiresort,0.022222222222222223,1.0,0.7398373983739837,0.7003794037940378
397,amisdelaterre,0.022222222222222223,1.0,0.7398373983739837,0.7003794037940378
511,aqualifeonline,0.022222222222222223,1.0,0.7398373983739837,0.7003794037940378
5350,randstad.au,0.022222222222222223,1.0,0.7398373983739837,0.7003794037940378
973,brazen,0.022222222222222223,0.75,0.9891304347826088,0.7000966183574879
3241,idm-solutions,0.022222222222222223,0.75,0.9891304347826088,0.7000966183574879
1102,canon,0.022222222222222223,0.75,0.9891304347826088,0.7000966183574879
312,aisne-developpement,0.022222222222222223,0.75,0.9891304347826088,0.7000966183574879
6143,telecom-valley,0.022222222222222223,1.0,0.7338709677419355,0.6979928315412187
2310,emploi.thalesgroup,0.022222222222222223,1.0,0.7338709677419355,0.6979928315412187
426,angel.co,0.022222222222222223,1.0,0.7338709677419355,0.6979928315412187
